Address_Town,Education_Sector,School_Type,LGA_Name,X,Y
Cranbourne,Government,Primary,Casey (C),145.28785,-38.11186
Katamatite,Government,Primary,Moira (S),145.6853,-36.07735
Buangor,Government,Primary,Ararat (RC),143.17502,-37.36404
Leitchville,Government,Primary,Gannawarra (S),144.30209,-35.90955
Whittlesea,Government,Primary,Whittlesea (C),145.11405,-37.51427
Nerrina,Government,Primary,Ballarat (C),143.89506,-37.5429
Ballarat,Government,Primary,Ballarat (C),143.83122,-37.56602
Warragul,Government,Primary,Baw Baw (S),145.92814,-38.15634
Kangaroo Ground,Government,Primary,Nillumbik (S),145.21466,-37.69174
Traralgon South,Government,Primary,Latrobe (C),146.54015,-38.29726
Coleraine,Government,Primary,Southern Grampians (S),141.68404,-37.60184
Ripplebrook,Government,Primary,Baw Baw (S),145.75849,-38.20349
Numurkah,Government,Primary,Moira (S),145.445,-36.09024
Moe,Government,Primary,Latrobe (C),146.26435,-38.17471
South Geelong,Government,Primary,Greater Geelong (C),144.35857,-38.15694
Bayswater,Government,Primary,Knox (C),145.25936,-37.8433
Minyip,Government,Primary,Yarriambiack (S),142.5841,-36.46271
Mulgrave,Government,Primary,Monash (C),145.19737,-37.93295
Yarragon,Government,Primary,Baw Baw (S),146.06096,-38.20937
Tyers,Government,Primary,Latrobe (C),146.47754,-38.14911
Trafalgar,Government,Primary,Baw Baw (S),146.15987,-38.21476
Kinglake,Government,Primary,Murrindindi (S),145.35664,-37.52157
Ellinbank,Government,Primary,Baw Baw (S),145.93563,-38.24023
Tambo Upper,Government,Primary,East Gippsland (S),147.8452,-37.7662
Baranduda,Government,Primary,Wodonga (C),146.94812,-36.18053
Tungamah,Government,Primary,Moira (S),145.87947,-36.16131
Bunyip,Government,Primary,Cardinia (S),145.71251,-38.09884
Gunbower,Government,Primary,Campaspe (S),144.37232,-35.95463
Nar Nar Goon,Government,Primary,Cardinia (S),145.57401,-38.08277
Toora,Government,Primary,South Gippsland (S),146.32799,-38.66352
Montrose,Government,Primary,Yarra Ranges (S),145.34369,-37.8081
Koondrook,Government,Primary,Gannawarra (S),144.12987,-35.63487
Magpie,Government,Primary,Ballarat (C),143.84327,-37.61571
Tawonga,Government,Primary,Alpine (S),147.14325,-36.6914
Narracan,Government,Primary,Baw Baw (S),146.23163,-38.26158
Drouin South,Government,Primary,Baw Baw (S),145.82682,-38.17057
Eskdale,Government,Primary,Towong (S),147.25125,-36.46527
Darnum,Government,Primary,Baw Baw (S),145.9997,-38.18773
Moorooduc,Government,Primary,Mornington Peninsula (S),145.10517,-38.24809
The Basin,Government,Primary,Knox (C),145.30842,-37.84951
Paynesville,Government,Primary,East Gippsland (S),147.7147,-37.91128
Epsom,Government,Primary,Greater Bendigo (C),144.31269,-36.70505
Kensington,Government,Primary,Melbourne (C),144.92762,-37.79267
Hazelwood North,Government,Primary,Latrobe (C),146.44768,-38.26819
Mirboo North,Government,Primary,South Gippsland (S),146.15109,-38.40049
Yinnar,Government,Primary,Latrobe (C),146.32891,-38.32109
Neerim South,Government,Primary,Baw Baw (S),145.95536,-38.01531
Ivanhoe,Government,Primary,Banyule (C),145.04298,-37.76657
Portarlington,Government,Primary,Greater Geelong (C),144.65498,-38.11552
Menzies Creek,Government,Primary,Yarra Ranges (S),145.39427,-37.91735
St Kilda,Government,Primary,Port Phillip (C),144.97779,-37.85812
Labertouche,Government,Primary,Baw Baw (S),145.80494,-38.03767
Diggers Rest,Government,Primary,Melton (C),144.70923,-37.62263
Longwarry,Government,Primary,Baw Baw (S),145.76914,-38.1141
Gembrook,Government,Primary,Cardinia (S),145.54532,-37.95164
Wurruk,Government,Primary,Wellington (S),147.03995,-38.1068
Willow Grove,Government,Primary,Baw Baw (S),146.17734,-38.07139
Hoddles Creek,Government,Primary,Yarra Ranges (S),145.59775,-37.83174
BEACONSFIELD UPPER,Government,Primary,Cardinia (S),145.41476,-37.9954
Congupna,Government,Primary,Greater Shepparton (C),145.43428,-36.29987
Redesdale,Government,Primary,Greater Bendigo (C),144.53089,-37.01952
